PROPERTY_NUM,TRANSACTION_AMOUNT,YEAR_BUILT,ADDRESS,REGISTRATION_DATE,ROAD_NAME,APARTMENT_NAME,SQUARE_FOOTAGE,FLOOR_NUMBER
202,1355000000,2018,서울특별시 동대문구  전농동 695 ,2024-07-03,답십리로23길,동대문롯데캐슬노블레스,84.98,17

203,750000000,2000,서울특별시 동대문구  전농동 10 ,2024-07-04,사가정로,전농SK,59.96,21

204,1440000000,2014,서울특별시 동대문구  전농동 690 ,2024-07-06,사가정로,래미안크레시티,84.96,21

205,930000000,2000,서울특별시 동대문구  전농동 10 ,2024-07-06,사가정로,전농SK,114.3,17

206,600000000,1997,서울특별시 동대문구  전농동 645-2 ,2024-07-09,서울시립대로,동아,57.9,16

207,675000000,2000,서울특별시 동대문구  전농동 10 ,2024-07-14,사가정로,전농SK,59.34,3

208,590000000,1992,서울특별시 동대문구  전농동 6 ,2024-07-15,사가정로,전농우성,59.78,15

209,600000000,1997,서울특별시 동대문구  답십리동 989-1 ,2024-07-01,답십리로59길,우성그린,59.36,8

210,1320000000,2019,서울특별시 동대문구  답십리동 1013 ,2024-07-01,답십리로,래미안미드카운티,84.99,13

211,362000000,1992,서울특별시 동대문구  답십리동 42 ,2024-07-03,답십리로,동답한신,35.45,1

212,1099000000,2014,서울특별시 동대문구  답십리동 1003 ,2024-07-04,답십리로,래미안위브,59.96,5

213,1290000000,2014,서울특별시 동대문구  답십리동 1003 ,2024-07-04,답십리로,래미안위브,84.99,3

214,1065000000,2014,서울특별시 동대문구  답십리동 1003 ,2024-07-05,답십리로,래미안위브,59.96,10

215,1245000000,2014,서울특별시 동대문구  답십리동 1003 ,2024-07-05,답십리로,래미안위브,84.98,3

216,1065000000,2014,서울특별시 동대문구  답십리동 1003 ,2024-07-05,답십리로,래미안위브,59.96,10

217,1065000000,2014,서울특별시 동대문구  답십리동 1003 ,2024-07-05,답십리로,래미안위브,59.96,10

218,1500000000,2014,서울특별시 동대문구  답십리동 1003 ,2024-07-06,답십리로,래미안위브,121.64,15

219,1220000000,2019,서울특별시 동대문구  답십리동 1014 ,2024-07-06,답십리로56길,답십리파크자이,84.62,16

220,1100000000,2019,서울특별시 동대문구  답십리동 1013 ,2024-07-06,답십리로,래미안미드카운티,59.98,13

221,699000000,2000,서울특별시 동대문구  답십리동 80 ,2024-07-06,전농로10길,답십리청솔우성,59.74,9

222,1255000000,2014,서울특별시 동대문구  답십리동 1003 ,2024-07-06,답십리로,래미안위브,84.98,7

223,1250000000,2014,서울특별시 동대문구  답십리동 1003 ,2024-07-06,답십리로,래미안위브,84.99,16

224,1145000000,2014,서울특별시 동대문구  답십리동 1003 ,2024-07-07,답십리로,래미안위브,59.96,7

225,1277000000,2014,서울특별시 동대문구  답십리동 1003 ,2024-07-08,답십리로,래미안위브,84.98,19

226,1360000000,2018,서울특별시 동대문구  답십리동 1009 ,2024-07-08,천호대로55길,힐스테이트청계,84.85,30

227,650000000,2000,서울특별시 동대문구  답십리동 990 ,2024-07-11,답십리로56길,두산,59.96,3

228,648000000,1997,서울특별시 동대문구  답십리동 989-1 ,2024-07-11,답십리로59길,우성그린,84.98,17

229,650000000,1997,서울특별시 동대문구  답십리동 989-1 ,2024-07-13,답십리로59길,우성그린,84.66,5

230,770000000,2001,서울특별시 동대문구  답십리동 10 ,2024-07-15,한천로11길,동아,84.72,13

231,810000000,2000,서울특별시 동대문구  답십리동 990 ,2024-07-15,답십리로56길,두산,84.83,11

232,525000000,1989,서울특별시 동대문구  답십리동 41 ,2024-07-17,답십리로,동서울한양,59.67,2

233,675000000,2001,서울특별시 동대문구  답십리동 10 ,2024-07-17,한천로11길,동아,59.88,19

234,1130000000,2014,서울특별시 동대문구  답십리동 1003 ,2024-07-19,답십리로,래미안위브,59.97,4

235,915000000,2003,서울특별시 동대문구  장안동 336 ,2024-07-01,장안벚꽃로,장안현대홈타운(336),84.87,14

236,640000000,2005,서울특별시 동대문구  장안동 450-4 ,2024-07-01,장한로6길,형인허브빌(450-4),84.68,4

237,818000000,2007,서울특별시 동대문구  장안동 329-2 ,2024-07-04,장안벚꽃로1길,장안힐스테이트,59.93,17

